column,start,length
SCHOOL ID (R-C-D-T-S),1,15
"SCHOOL TYPE CODE (0,1,2,C)",17,1
SCHOOL NAME,20,33
DISTRICT NAME,54,33
CITY,88,17
COUNTY,106,11
"DISTRICT TYPE CODE (0,1,2,9)",118,1
"DISTRICT SIZE CODE (1,2,...8,9)",120,1
DISTRICT TYPE NAME,122,11
DISTRICT SIZE NAME,134,6
SCHOOL TYPE NAME,141,11
GRADES IN SCHOOL,153,31
SCHOOL - WHITE %,185,5
SCHOOL - BLACK %,191,5
SCHOOL - HISPANIC %,197,5
SCHOOL - ASIAN %,203,5
SCHOOL - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,209,5
SCHOOL - NATIVE AMERICAN %,215,5
SCHOOL - TWO OR MORE RACES %,221,5
SCHOOL TOTAL ENROLLMENT,227,5
SUBREGION - WHITE %,233,5
SUBREGION - BLACK %,239,5
SUBREGION - HISPANIC %,245,5
SUBREGION - ASIAN %,251,5
SUBREGION - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,257,5
SUBREGION - NATIVE AMERICAN %,263,5
SUBREGION - TWO OR MORE RACES %,269,5
SUBREGION TOTAL ENROLLMENT,275,7
DISTRICT - WHITE %,283,5
DISTRICT - BLACK %,289,5
DISTRICT - HISPANIC %,295,5
DISTRICT - ASIAN %,301,5
DISTRICT - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,307,5
DISTRICT - NATIVE AMERICAN %,313,5
DISTRICT - TWO OR MORE RACES %,319,5
DISTRICT TOTAL ENROLLMENT,325,7
STATE - WHITE %,333,5
STATE - BLACK %,339,5
STATE - HISPANIC %,345,5
STATE - ASIAN %,351,5
STATE - NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER %,357,5
STATE - NATIVE AMERICAN %,363,5
STATE - TWO OR MORE RACES %,369,5
STATE TOTAL ENROLLMENT,375,9
L.E.P. SCHOOL %,385,5
L.E.P. SUBREGION %,391,5
L.E.P. DISTRICT %,397,5
L.E.P. STATE %,403,5
I.E.P. SCHOOL %,409,5
I.E.P. SUBREGION %,415,5
I.E.P. DISTRICT %,421,5
I.E.P. STATE %,427,5
LOW-INCOME SCHOOL %,433,5
LOW-INCOME SUBREGION %,439,5
LOW-INCOME DISTRICT %,445,5
LOW-INCOME STATE %,451,5
PARENTAL INVOLVEMENT SCHOOL %,457,5
PARENTAL INVOLVEMENT SUBREGION %,463,5
PARENTAL INVOLVEMENT DISTRICT %,469,5
PARENTAL INVOLVEMENT STATE %,475,5
ATTENDANCE RATE SCHOOL %,481,5
ATTENDANCE RATE SUBREGION %,487,5
ATTENDANCE RATE DISTRICT %,493,5
ATTENDANCE RATE STATE %,499,5
ATTENDANCE RATE SCHOOL %,505,5
ATTENDANCE RATE SUBREGION %,511,5
ATTENDANCE RATE DISTRICT %,517,5
ATTENDANCE RATE STATE %,523,5
ATTENDANCE RATE SCHOOL %,529,5
ATTENDANCE RATE SUBREGION %,535,5
ATTENDANCE RATE DISTRICT %,541,5
ATTENDANCE RATE STATE %,547,5
ATTENDANCE RATE SCHOOL %,553,5
ATTENDANCE RATE SUBREGION %,559,5
ATTENDANCE RATE DISTRICT %,565,5
ATTENDANCE RATE STATE %,571,5
ATTENDANCE RATE SCHOOL %,577,5
ATTENDANCE RATE SUBREGION %,583,5
ATTENDANCE RATE DISTRICT %,589,5
ATTENDANCE RATE STATE %,595,5
ATTENDANCE RATE SCHOOL %,601,5
ATTENDANCE RATE SUBREGION %,607,5
ATTENDANCE RATE DISTRICT %,613,5
ATTENDANCE RATE STATE %,619,5
ATTENDANCE RATE SCHOOL %,625,5
ATTENDANCE RATE SUBREGION %,631,5
ATTENDANCE RATE DISTRICT %,637,5
ATTENDANCE RATE STATE %,643,5
ATTENDANCE RATE SCHOOL %,649,5
ATTENDANCE RATE SUBREGION %,655,5
ATTENDANCE RATE DISTRICT %,661,5
ATTENDANCE RATE STATE %,667,5
ATTENDANCE RATE SCHOOL %,673,5
ATTENDANCE RATE SUBREGION %,679,5
ATTENDANCE RATE DISTRICT %,685,5
ATTENDANCE RATE STATE %,691,5
ATTENDANCE RATE SCHOOL %,697,5
ATTENDANCE RATE SUBREGION %,703,5
ATTENDANCE RATE DISTRICT %,709,5
ATTENDANCE RATE STATE %,715,5
ATTENDANCE RATE SCHOOL %,721,5
ATTENDANCE RATE SUBREGION %,727,5
ATTENDANCE RATE DISTRICT %,733,5
ATTENDANCE RATE STATE %,739,5
ATTENDANCE RATE SCHOOL %,745,5
ATTENDANCE RATE SUBREGION %,751,5
ATTENDANCE RATE DISTRICT %,757,5
ATTENDANCE RATE STATE %,763,5
ATTENDANCE RATE SCHOOL %,769,5
ATTENDANCE RATE SUBREGION %,775,5
ATTENDANCE RATE DISTRICT %,781,5
ATTENDANCE RATE STATE %,787,5
ATTENDANCE RATE SCHOOL %,793,5
ATTENDANCE RATE SUBREGION %,799,5
ATTENDANCE RATE DISTRICT %,805,5
ATTENDANCE RATE STATE %,811,5
MOBILITY RATE SCHOOL %,817,5
MOBILITY RATE SUBREGION %,823,5
MOBILITY RATE DISTRICT %,829,5
MOBILITY RATE STATE %,835,5
CHRONIC TRUANTS # - SCHOOL,841,5
CHRONIC TRUANTS  #- SUBREGION,847,6
CHRONIC TRUANTS  #- DISTRICT,854,6
CHRONIC TRUANTS  #- STATE,861,6
CHRONIC TRUANTS RATE SCHOOL %,868,5
CHRONIC TRUANTS RATE SUBREGION %,874,5
CHRONIC TRUANTS RATE DISTRICT %,880,5
CHRONIC TRUANTS RATE STATE %,886,5
DROPOUT RATE  SCHOOL %,892,5
DROPOUT RATE SUBREGION %,898,5
DROPOUT RATE DISTRICT %,904,5
DROPOUT RATE STATE %,910,5
HS 4-YEAR GRAD RATE SCHOOL %,916,5
HS 4-YEAR GRAD RATE SUBREGION %,922,5
HS 4-YEAR GRAD RATE DISTRICT %,928,5
HS 4-YEAR GRAD RATE STATE %,934,5
HS 4-YEAR GRAD RATE SCHOOL %,940,5
HS 4-YEAR GRAD RATE SUBREGION %,946,5
HS 4-YEAR GRAD RATE DISTRICT %,952,5
HS 4-YEAR GRAD RATE STATE %,958,5
HS 4-YEAR GRAD RATE SCHOOL %,964,5
HS 4-YEAR GRAD RATE SUBREGION %,970,5
HS 4-YEAR GRAD RATE DISTRICT %,976,5
HS 4-YEAR GRAD RATE STATE %,982,5
HS 4-YEAR GRAD RATE SCHOOL %,988,5
HS 4-YEAR GRAD RATE SUBREGION %,994,5
HS 4-YEAR GRAD RATE DISTRICT %,1000,5
HS 4-YEAR GRAD RATE STATE %,1006,5
HS 4-YEAR GRAD RATE SCHOOL %,1012,5
HS 4-YEAR GRAD RATE SUBREGION %,1018,5
HS 4-YEAR GRAD RATE DISTRICT %,1024,5
HS 4-YEAR GRAD RATE STATE %,1030,5
HS 4-YEAR GRAD RATE SCHOOL %,1036,5
HS 4-YEAR GRAD RATE SUBREGION %,1042,5
HS 4-YEAR GRAD RATE DISTRICT %,1048,5
HS 4-YEAR GRAD RATE STATE %,1054,5
HS 4-YEAR GRAD RATE SCHOOL %,1060,5
HS 4-YEAR GRAD RATE SUBREGION %,1066,5
HS 4-YEAR GRAD RATE DISTRICT %,1072,5
HS 4-YEAR GRAD RATE STATE %,1078,5
HS 4-YEAR GRAD RATE SCHOOL %,1084,5
HS 4-YEAR GRAD RATE SUBREGION %,1090,5
HS 4-YEAR GRAD RATE DISTRICT %,1096,5
HS 4-YEAR GRAD RATE STATE %,1102,5
HS 4-YEAR GRAD RATE SCHOOL %,1108,5
HS 4-YEAR GRAD RATE SUBREGION %,1114,5
HS 4-YEAR GRAD RATE DISTRICT %,1120,5
HS 4-YEAR GRAD RATE STATE %,1126,5
HS 4-YEAR GRAD RATE SCHOOL %,1132,5
HS 4-YEAR GRAD RATE SUBREGION %,1138,5
HS 4-YEAR GRAD RATE DISTRICT %,1144,5
HS 4-YEAR GRAD RATE STATE %,1150,5
HS 4-YEAR GRAD RATE SCHOOL %,1156,5
HS 4-YEAR GRAD RATE SUBREGION %,1162,5
HS 4-YEAR GRAD RATE DISTRICT %,1168,5
HS 4-YEAR GRAD RATE STATE %,1174,5
HS 4-YEAR GRAD RATE SCHOOL %,1180,5
HS 4-YEAR GRAD RATE SUBREGION %,1186,5
HS 4-YEAR GRAD RATE DISTRICT %,1192,5
HS 4-YEAR GRAD RATE STATE %,1198,5
HS 4-YEAR GRAD RATE SCHOOL %,1204,5
HS 4-YEAR GRAD RATE SUBREGION %,1210,5
HS 4-YEAR GRAD RATE DISTRICT %,1216,5
HS 4-YEAR GRAD RATE STATE %,1222,5
HS 4-YEAR GRAD RATE SCHOOL %,1228,5
HS 4-YEAR GRAD RATE SUBREGION %,1234,5
HS 4-YEAR GRAD RATE DISTRICT %,1240,5
HS 4-YEAR GRAD RATE STATE %,1246,5
HS 5-YEAR GRAD RATE SCHOOL %,1252,5
HS 5-YEAR GRAD RATE SUBREGION %,1258,5
HS 5-YEAR GRAD RATE DISTRICT %,1264,5
HS 5-YEAR GRAD RATE STATE %,1270,5
HS 5-YEAR GRAD RATE SCHOOL %,1276,5
HS 5-YEAR GRAD RATE SUBREGION %,1282,5
HS 5-YEAR GRAD RATE DISTRICT %,1288,5
HS 5-YEAR GRAD RATE STATE %,1294,5
HS 5-YEAR GRAD RATE SCHOOL %,1300,5
HS 5-YEAR GRAD RATE SUBREGION %,1306,5
HS 5-YEAR GRAD RATE DISTRICT %,1312,5
HS 5-YEAR GRAD RATE STATE %,1318,5
HS 5-YEAR GRAD RATE SCHOOL %,1324,5
HS 5-YEAR GRAD RATE SUBREGION %,1330,5
HS 5-YEAR GRAD RATE DISTRICT %,1336,5
HS 5-YEAR GRAD RATE STATE %,1342,5
HS 5-YEAR GRAD RATE SCHOOL %,1348,5
HS 5-YEAR GRAD RATE SUBREGION %,1354,5
HS 5-YEAR GRAD RATE DISTRICT %,1360,5
HS 5-YEAR GRAD RATE STATE %,1366,5
HS 5-YEAR GRAD RATE SCHOOL %,1372,5
HS 5-YEAR GRAD RATE SUBREGION %,1378,5
HS 5-YEAR GRAD RATE DISTRICT %,1384,5
HS 5-YEAR GRAD RATE STATE %,1390,5
HS 5-YEAR GRAD RATE SCHOOL %,1396,5
HS 5-YEAR GRAD RATE SUBREGION %,1402,5
HS 5-YEAR GRAD RATE DISTRICT %,1408,5
HS 5-YEAR GRAD RATE STATE %,1414,5
HS 5-YEAR GRAD RATE SCHOOL %,1420,5
HS 5-YEAR GRAD RATE SUBREGION %,1426,5
HS 5-YEAR GRAD RATE DISTRICT %,1432,5
HS 5-YEAR GRAD RATE STATE %,1438,5
HS 5-YEAR GRAD RATE SCHOOL %,1444,5
HS 5-YEAR GRAD RATE SUBREGION %,1450,5
HS 5-YEAR GRAD RATE DISTRICT %,1456,5
HS 5-YEAR GRAD RATE STATE %,1462,5
HS 5-YEAR GRAD RATE SCHOOL %,1468,5
