column,start,length
SCHOOL ID (R-C-D-S),1,13
"SCHOOL TYPE CODE (0,1,2,C)",15,1
SCHOOL NAME,17,33
DISTRICT NAME,51,33
CITY,85,17
COUNTY,103,11
"DISTRICT TYPE CODE (0,1,2,9)",115,1
"DISTRICT SIZE CODE (1,2,...8,9)",117,1
DISTRICT TYPE NAME,119,11
DISTRICT SIZE NAME,131,6
SCHOOL TYPE NAME,138,11
GRADES IN SCHOOL,150,25
"NEED SCHOOL IMPROVEMENT (0,1)",176,1
# YEARS IN SCHOOL IMPROVEMENT STATUS,178,2
# OF SCHOOLS IN THE DISTRICT,181,3
# OF SCHOOLS IN THE STATE,185,4
# OF SCHOOLS IN THE DISTRICT IN SCHOOL IMPROVEMENT STATUS,190,3
# OF SCHOOLS IN THE STATE IN SCHOOL IMPROVEMENT STATUS,194,4
% OF SCHOOLS IN THE DISTRICT IN SCHOOL IMPROVEMENT STATUS,199,5
% OF SCHOOLS IN THE STATE IN SCHOOL IMPROVEMENT STATUS,205,5
SCHOOL - WHITE %,211,5
SCHOOL - BLACK %,217,5
SCHOOL - HISPANIC %,223,5
SCHOOL - ASIAN %,229,5
SCHOOL - NATIVE AMERICAN %,235,5
SCHOOL TOTAL ENROLLMENT,241,5
SUBREGION - WHITE %,247,5
SUBREGION - BLACK %,253,5
SUBREGION - HISPANIC %,259,5
SUBREGION - ASIAN %,265,5
SUBREGION - NATIVE AMERICAN %,271,5
SUBREGION TOTAL ENROLLMENT,277,7
DISTRICT - WHITE %,285,5
DISTRICT - BLACK %,291,5
DISTRICT - HISPANIC %,297,5
DISTRICT - ASIAN %,303,5
DISTRICT - NATIVE AMERICAN %,309,5
DISTRICT TOTAL ENROLLMENT,315,7
STATE - WHITE %,323,5
STATE - BLACK %,329,5
STATE - HISPANIC %,335,5
STATE - ASIAN %,341,5
STATE - NATIVE AMERICAN %,347,5
STATE TOTAL ENROLLMENT,353,9
L.E.P. SCHOOL %,363,5
L.E.P. SUBREGION %,369,5
