column,start,length
SCHOOL ID (R-C-D-T-S),1,15
"SCHOOL TYPE CODE (0,1,2,C)",17,1
SCHOOL NAME,19,33
DISTRICT NAME,53,33
CITY,87,17
COUNTY,105,11
"DISTRICT TYPE CODE (0,1,2,9)",117,1
"DISTRICT SIZE CODE (1,2,...8,9)",119,1
DISTRICT TYPE NAME,121,11
DISTRICT SIZE NAME,133,6
SCHOOL TYPE NAME,140,11
GRADES IN SCHOOL,152,28
SCHOOL - WHITE %,181,5
SCHOOL - BLACK %,187,5
SCHOOL - HISPANIC %,193,5
SCHOOL - ASIAN %,199,5
SCHOOL - NATIVE AMERICAN %,205,5
SCHOOL - MULTIRACIAL/ETHNIC %,211,5
SCHOOL TOTAL ENROLLMENT,217,5
SUBREGION - WHITE %,223,5
SUBREGION - BLACK %,229,5
SUBREGION - HISPANIC %,235,5
SUBREGION - ASIAN %,241,5
SUBREGION - NATIVE AMERICAN %,247,5
SUBREGION - MULTIRACIAL/ETHNIC %,253,5
SUBREGION TOTAL ENROLLMENT,259,7
DISTRICT - WHITE %,267,5
DISTRICT - BLACK %,273,5
DISTRICT - HISPANIC %,279,5
DISTRICT - ASIAN %,285,5
DISTRICT - NATIVE AMERICAN %,291,5
DISTRICT - MULTIRACIAL/ETHNIC %,297,5
DISTRICT TOTAL ENROLLMENT,303,7
STATE - WHITE %,311,5
STATE - BLACK %,317,5
STATE - HISPANIC %,323,5
STATE - ASIAN %,329,5
STATE - NATIVE AMERICAN %,335,5
STATE - MULTIRACIAL/ETHNIC %,341,5
STATE TOTAL ENROLLMENT,347,9
L.E.P. SCHOOL %,357,5
L.E.P. SUBREGION %,363,5
L.E.P. DISTRICT %,369,5
L.E.P. STATE %,375,5
LOW-INCOME SCHOOL %,381,5
LOW-INCOME SUBREGION %,387,5
LOW-INCOME DISTRICT %,393,5
LOW-INCOME STATE %,399,5
PARENTAL INVOLVEMENT SCHOOL %,405,5
PARENTAL INVOLVEMENT SUBREGION %,411,5
PARENTAL INVOLVEMENT DISTRICT %,417,5
PARENTAL INVOLVEMENT STATE %,423,5
ATTENDANCE RATE SCHOOL % (ALL),429,5
ATTENDANCE RATE SUBREGION % (ALL),435,5
ATTENDANCE RATE DISTRICT % (ALL),441,5
ATTENDANCE RATE STATE % (ALL),447,5
ATTENDANCE RATE SCHOOL % (MALE),453,5
ATTENDANCE RATE SUBREGION % (MALE),459,5
ATTENDANCE RATE DISTRICT % (MALE),465,5
ATTENDANCE RATE STATE % (MALE),471,5
ATTENDANCE RATE SCHOOL % (FEMALE),477,5
ATTENDANCE RATE SUBREGION % (FEMALE),483,5
ATTENDANCE RATE DISTRICT % (FEMALE),489,5
ATTENDANCE RATE STATE % (FEMALE),495,5
ATTENDANCE RATE SCHOOL % (WHITE),501,5
ATTENDANCE RATE SUBREGION % (WHITE),507,5
ATTENDANCE RATE DISTRICT % (WHITE),513,5
ATTENDANCE RATE STATE % (WHITE),519,5
ATTENDANCE RATE SCHOOL % (BLACK),525,5
ATTENDANCE RATE SUBREGION % (BLACK),531,5
ATTENDANCE RATE DISTRICT % (BLACK),537,5
ATTENDANCE RATE STATE % (BLACK),543,5
ATTENDANCE RATE SCHOOL % (HISPANIC),549,5
ATTENDANCE RATE SUBREGION % (HISPANIC),555,5
ATTENDANCE RATE DISTRICT % (HISPANIC),561,5
ATTENDANCE RATE STATE % (HISPANIC),567,5
ATTENDANCE RATE SCHOOL % (ASIAN),573,5
ATTENDANCE RATE SUBREGION % (ASIAN),579,5
ATTENDANCE RATE DISTRICT % (ASIAN),585,5
ATTENDANCE RATE STATE % (ASIAN),591,5
ATTENDANCE RATE SCHOOL % (NATIVE AMERICAN),597,5
ATTENDANCE RATE SUBREGION % (NATIVE AMERICAN),603,5
ATTENDANCE RATE DISTRICT % (NATIVE AMERICAN),609,5
ATTENDANCE RATE STATE % (NATIVE AMERICAN),615,5
ATTENDANCE RATE SCHOOL % (MULTIRACIAL),621,5
ATTENDANCE RATE SUBREGION % (MULTIRACIAL),627,5
ATTENDANCE RATE DISTRICT % (MULTIRACIAL),633,5
ATTENDANCE RATE STATE % (MULTIRACIAL),639,5
ATTENDANCE RATE SCHOOL % (LEP),645,5
ATTENDANCE RATE SUBREGION % (LEP),651,5
ATTENDANCE RATE DISTRICT % (LEP),657,5
ATTENDANCE RATE STATE % (LEP),663,5
ATTENDANCE RATE SCHOOL % (MIGRANT),669,5
ATTENDANCE RATE SUBREGION % (MIGRANT),675,5
ATTENDANCE RATE DISTRICT % (MIGRANT),681,5
ATTENDANCE RATE STATE % (MIGRANT),687,5
ATTENDANCE RATE SCHOOL % (IEP),693,5
ATTENDANCE RATE SUBREGION % (IEP),699,5
ATTENDANCE RATE DISTRICT % (IEP),705,5
ATTENDANCE RATE STATE % (IEP),711,5
ATTENDANCE RATE SCHOOL % (LOW INCOME),717,5
ATTENDANCE RATE SUBREGION % (LOW INCOME),723,5
ATTENDANCE RATE DISTRICT % (LOW INCOME),729,5
ATTENDANCE RATE STATE % (LOW INCOME),735,5
MOBILITY RATE SCHOOL %,741,5
MOBILITY RATE SUBREGION %,747,5
MOBILITY RATE DISTRICT %,753,5
MOBILITY RATE STATE %,759,5
CHRONIC TRUANTS # - SCHOOL,765,5
CHRONIC TRUANTS  #- SUBREGION,771,6
CHRONIC TRUANTS  #- DISTRICT,778,6
CHRONIC TRUANTS  #- STATE,785,6
CHRONIC TRUANTS RATE SCHOOL %,792,5
CHRONIC TRUANTS RATE SUBREGION %,798,5
CHRONIC TRUANTS RATE DISTRICT %,804,5
CHRONIC TRUANTS RATE STATE %,810,5
DROPOUT RATE  SCHOOL %,816,5
DROPOUT RATE SUBREGION %,822,5
DROPOUT RATE DISTRICT %,828,5
DROPOUT RATE STATE %,834,5
HS GRAD RATE SCHOOL % (ALL),840,5
HS GRAD RATE SUBREGION % (ALL),846,5
HS GRAD RATE DISTRICT % (ALL),852,5
HS GRAD RATE STATE % (ALL),858,5
HS GRAD RATE SCHOOL % (MALE),864,5
HS GRAD RATE SUBREGION % (MALE),870,5
HS GRAD RATE DISTRICT % (MALE),876,5
HS GRAD RATE STATE % (MALE),882,5
HS GRAD RATE SCHOOL % (FEMALE),888,5
HS GRAD RATE SUBREGION % (FEMALE),894,5
HS GRAD RATE DISTRICT % (FEMALE),900,5
HS GRAD RATE STATE % (FEMALE),906,5
HS GRAD RATE SCHOOL % (WHITE),912,5
HS GRAD RATE SUBREGION % (WHITE),918,5
HS GRAD RATE DISTRICT % (WHITE),924,5
HS GRAD RATE STATE % (WHITE),930,5
HS GRAD RATE SCHOOL % (BLACK),936,5
HS GRAD RATE SUBREGION % (BLACK),942,5
HS GRAD RATE DISTRICT % (BLACK),948,5
HS GRAD RATE STATE % (BLACK),954,5
HS GRAD RATE SCHOOL % (HISPANIC),960,5
HS GRAD RATE SUBREGION % (HISPANIC),966,5
HS GRAD RATE DISTRICT % (HISPANIC),972,5
HS GRAD RATE STATE % (HISPANIC),978,5
HS GRAD RATE SCHOOL % (ASIAN),984,5
HS GRAD RATE SUBREGION % (ASIAN),990,5
HS GRAD RATE DISTRICT % (ASIAN),996,5
HS GRAD RATE STATE % (ASIAN),1002,5
HS GRAD RATE SCHOOL % (NATIVE AMERICAN),1008,5
HS GRAD RATE SUBREGION % (NATIVE AMERICAN),1014,5
HS GRAD RATE DISTRICT % (NATIVE AMERICAN),1020,5
HS GRAD RATE STATE % (NATIVE AMERICAN),1026,5
HS GRAD RATE SCHOOL % (MULTIRACIAL),1032,5
HS GRAD RATE SUBREGION % (MULTIRACIAL),1038,5
HS GRAD RATE DISTRICT % (MULTIRACIAL),1044,5
HS GRAD RATE STATE % (MULTIRACIAL),1050,5
HS GRAD RATE SCHOOL % (LEP),1056,5
HS GRAD RATE SUBREGION % (LEP),1062,5
HS GRAD RATE DISTRICT % (LEP),1068,5
HS GRAD RATE STATE % (LEP),1074,5
HS GRAD RATE SCHOOL % (MIGRANT),1080,5
HS GRAD RATE SUBREGION % (MIGRANT),1086,5
HS GRAD RATE DISTRICT % (MIGRANT),1092,5
HS GRAD RATE STATE % (MIGRANT),1098,5
HS GRAD RATE SCHOOL % (IEP),1104,5
HS GRAD RATE SUBREGION % (IEP),1110,5
HS GRAD RATE DISTRICT % (IEP),1116,5
HS GRAD RATE STATE % (IEP),1122,5
HS GRAD RATE SCHOOL % (LOW INCOME),1128,5
HS GRAD RATE SUBREGION % (LOW INCOME),1134,5
HS GRAD RATE DISTRICT % (LOW INCOME),1140,5
HS GRAD RATE STATE % (LOW INCOME),1146,5
ACT COMP SCHOOL,1152,4
ACT COMP SUBREGION,1157,4
ACT COMP DISTRICT,1162,4
ACT COMP STATE,1167,4
ACT ENGL SCHOOL SCORE,1172,4
ACT ENGL SUBREGION,1177,4
ACT ENGL DISTRICT SCORE,1182,4
ACT ENGL STATE SCORE,1187,4
ACT MATH SCHOOL SCORE,1192,4
ACT MATH SUBREGION,1197,4
ACT MATH DISTRICT SCORE,1202,4
ACT MATH STATE SCORE,1207,4
ACT READ SCHOOL SCORE,1212,4
ACT READ SUBREGION,1217,4
ACT READ DISTRICT SCORE,1222,4
ACT READ STATE SCORE,1227,4
ACT SCIE SCHOOL SCORE,1232,4
ACT SCIE SUBREGION,1237,4
ACT SCIE DISTRICT SCORE,1242,4
ACT SCIE STATE SCORE,1247,4
ACT # TEST TAKERS SCHOOL,1252,7
ACT # TEST TAKERS SUBREGION,1260,7
ACT # TEST TAKERS DISTRICT,1268,7
ACT # TEST TAKERS STATE,1276,7
ACT % OF CLASS SCHOOL,1284,5
ACT % OF CLASS SUBREGION,1290,5
ACT % OF CLASS DISTRICT,1296,5
ACT % OF CLASS STATE,1302,5
AVG CLASS SIZE - SCHOOL (KG),1308,4
AVG CLASS SIZE - SUBREGION (KG),1313,4
AVG CLASS SIZE - DISTRICT (KG),1318,4
AVG CLASS SIZE - STATE (KG),1323,4
AVG CLASS SIZE - SCHOOL (GR1),1328,4
AVG CLASS SIZE - SUBREGION (GR1),1333,4
AVG CLASS SIZE - DISTRICT (GR1),1338,4
AVG CLASS SIZE - STATE (GR1),1343,4
AVG CLASS SIZE - SCHOOL (GR3),1348,4
AVG CLASS SIZE - SUBREGION (GR3),1353,4
AVG CLASS SIZE - DISTRICT (GR3),1358,4
AVG CLASS SIZE - STATE (GR3),1363,4
AVG CLASS SIZE - SCHOOL (GR6),1368,4
AVG CLASS SIZE - SUBREGION (GR6),1373,4
AVG CLASS SIZE - DISTRICT (GR6),1378,4
AVG CLASS SIZE - STATE (GR6),1383,4
AVG CLASS SIZE - SCHOOL (GR8),1388,4
AVG CLASS SIZE - SUBREGION (GR8),1393,4
AVG CLASS SIZE - DISTRICT (GR8),1398,4
AVG CLASS SIZE - STATE (GR8),1403,4
AVG CLASS SIZE - SCHOOL (H.S.),1408,4
AVG CLASS SIZE - SUBREGION (H.S.),1413,4
AVG CLASS SIZE - DISTRICT (H.S.),1418,4
