schema_filename,file_type,publisher,data_source,schema_source,contributor
us/fec/fec_contributions_to_candidates80.csv,Flat files,Federal Election Commission,http://fec.gov/finance/disclosure/ftpdet.shtml,ftp://ftp.fec.gov/FEC/pas2_dictionary.txt,Aaron Bycoffe
us/fec/fec_contributions_to_candidates82.csv,Flat files,Federal Election Commission,http://fec.gov/finance/disclosure/ftpdet.shtml,ftp://ftp.fec.gov/FEC/pas2_dictionary.txt,Aaron Bycoffe
us/fec/fec_contributions_to_candidates84.csv,Flat files,Federal Election Commission,http://fec.gov/finance/disclosure/ftpdet.shtml,ftp://ftp.fec.gov/FEC/pas2_dictionary.txt,Aaron Bycoffe
us/fec/fec_contributions_to_candidates86.csv,Flat files,Federal Election Commission,http://fec.gov/finance/disclosure/ftpdet.shtml,ftp://ftp.fec.gov/FEC/pas2_dictionary.txt,Aaron Bycoffe
us/fec/fec_contributions_to_candidates88.csv,Flat files,Federal Election Commission,http://fec.gov/finance/disclosure/ftpdet.shtml,ftp://ftp.fec.gov/FEC/pas2_dictionary.txt,Aaron Bycoffe
us/fec/fec_contributions_to_candidates90.csv,Flat files,Federal Election Commission,http://fec.gov/finance/disclosure/ftpdet.shtml,ftp://ftp.fec.gov/FEC/pas2_dictionary.txt,Aaron Bycoffe
us/fec/fec_contributions_to_candidates92.csv,Flat files,Federal Election Commission,http://fec.gov/finance/disclosure/ftpdet.shtml,ftp://ftp.fec.gov/FEC/pas2_dictionary.txt,Aaron Bycoffe
us/fec/fec_contributions_to_candidates94.csv,Flat files,Federal Election Commission,http://fec.gov/finance/disclosure/ftpdet.shtml,ftp://ftp.fec.gov/FEC/pas2_dictionary.txt,Aaron Bycoffe
us/fec/fec_contributions_to_candidates96.csv,Flat files,Federal Election Commission,http://fec.gov/finance/disclosure/ftpdet.shtml,ftp://ftp.fec.gov/FEC/pas2_dictionary.txt,Aaron Bycoffe
us/fec/fec_contributions_to_candidates98.csv,Flat files,Federal Election Commission,http://fec.gov/finance/disclosure/ftpdet.shtml,ftp://ftp.fec.gov/FEC/pas2_dictionary.txt,Aaron Bycoffe
us/fec/fec_committee_transactions.csv,Flat files,Federal Election Commission,http://fec.gov/finance/disclosure/ftpdet.shtml,ftp://ftp.fec.gov/FEC/oth_dictionary.txt,Aaron Bycoffe
